Authors;Title;Year;Journal;Volume;Issue;Cited by;DOI;Link;Affiliations;Language of Original Document;Document Type;Publication Stage;Open Access;Source
"Lilley T.M.; Prokkola J.M.; Blomberg A.S.; Paterson S.; Johnson J.S.; Turner G.G.; Bartonička T.; Bachorec E.; Reeder D.A.M.; Field K.A.";Resistance is futile: RNA-sequencing reveals differing responses to bat fungal pathogen in Nearctic Myotis lucifugus and Palearctic Myotis myotis;2019;Oecologia;191;2;25;10.1007/s00442-019-04499-6;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072717782&doi=10.1007%2fs00442-019-04499-6&partnerID=40&md5=28b8dca0065d4cc27cdb59d5734c3c95;"Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland; Institute of Integrative Biology, University of Liverpool, Liverpool, United Kingdom; Department of Biology, University of Turku, Turku, Finland; Department of Biological Sciences, Ohio University, Athens, OH, United States; Pennsylvania Game Commission, Harrisburg, PA, United States; Department of Botany and Zoology, Masaryk University, Brno, Czech Republic; Biology Department, Bucknell University, Lewisburg, PA, United States";English;Article;Final;"All Open Access; Green Open Access; Hybrid Gold Open Access";Scopus
"Rani S.; Mehrotra M.";Clustering social networks using nature-inspired BAT algorithm;2020;International Journal of Advanced Computer Science and Applications;11;4;4;10.14569/IJACSA.2020.0110416;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085290864&doi=10.14569%2fIJACSA.2020.0110416&partnerID=40&md5=d176db8348001134412407f933b900fb;Department of Computer Science, Jamia Millia Islamia, New Delhi, India;English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Neethu M.R.; Harini N.";Safe sonet: A framework for building trustworthy relationships;2018;International Journal of Engineering and Technology(UAE);7;2.26 Special Issue  26;3;10.14419/ijet.v7i1.8822;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067270910&doi=10.14419%2fijet.v7i1.8822&partnerID=40&md5=7c0f62bb632d65327000a2ca860b8c5f;Department of Computer Science and Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India;English;Article;Final;"All Open Access; Bronze Open Access";Scopus
Schmaljohann H.;Radar aeroecology – a missing piece of the puzzle for studying the migration ecology of animals;2020;Ecography;43;2;7;10.1111/ecog.04807;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074795778&doi=10.1111%2fecog.04807&partnerID=40&md5=9884a21e76184ecc7b4ab7b0711c8e35;Faculty of Biology/Environmental Sciences, Univ. Oldenburg, Oldenburg, Germany;English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Mashwani W.K.; Hamdi A.; Asif Jan M.; Göktaş A.; Khan F.";Large-scale global optimization based on hybrid swarm intelligence algorithm;2020;Journal of Intelligent and Fuzzy Systems;39;1;18;10.3233/JIFS-192162;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087618561&doi=10.3233%2fJIFS-192162&partnerID=40&md5=77e020b796573eee800e4105ec746033;"Institute of Numerical Sciences, Kohat University of Science Technology, Kpk, Pakistan; Department of Mathematics, Statistics and Physics, College of Arts and Sciences, Qatar University, Pb, Doha, Qatar; Department of Statistics, Mugla Sitki Kocman University, Turkey";English;Article;Final;;Scopus
"Bachorec E.; Horáček I.; Hulva P.; Konečný A.; Lučan R.K.; Jedlička P.; Shohdi W.M.; Řeřucha Š.; Abi-Said M.; Bartonička T.";Spatial networks differ when food supply changes: Foraging strategy of Egyptian fruit bats;2020;PLoS ONE;15;2;14;10.1371/journal.pone.0229110;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080050498&doi=10.1371%2fjournal.pone.0229110&partnerID=40&md5=471c71c650f11a6947cde77c7e78a4e6;"Department of Botany and Zoology, Masaryk University, Kotlářská, Brno, Czech Republic; Department of Zoology, Charles University in Prague, Viničná, Prague, Czech Republic; Institute of Scientific Instruments of the Czech Academy of Sciences (ISI), Královopolská, Brno, Czech Republic; Nature Conservation Egypt, Mohandeseen, Giza, Egypt; Department of Earth and Life Sciences, Faculty of Sciences II, Lebanese University, Fanar, Lebanon";English;Article;Final;"All Open Access; Gold Open Access; Green Open Access";Scopus
"Rajkumar R.; James Albert A.; Siddique Ibrahim S.P.";Feature selection with enhanced bat algorithm and modified recursive bayesian deep neural network (MRBDNN) for temperature prediction;2019;International Journal of Recent Technology and Engineering;7;4;1;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060513821&partnerID=40&md5=a796a852e6b8c0adaad7748324c31d6a;"Department of Mathematics, Kumaraguru College of Technology, Coimbatore, Tamil Nadu, India; Department of Computer Science and Engineering, Kumaraguru College of Technology, Coimbatore, Tamil Nadu, India";English;Article;Final;;Scopus
"Burbrink F.T.; Lorch J.M.; Lips K.R.";Host susceptibility to snake fungal disease is highly dispersed across phylogenetic and functional trait space;2017;Science Advances;3;12;45;10.1126/sciadv.1701387;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041816961&doi=10.1126%2fsciadv.1701387&partnerID=40&md5=26f4a020fe5ba2712cf415c4ee95b503;"Department of Herpetology, American Museum of Natural History, 79th Street at Central Park West, New York, 10024, NY, United States; U.S. Geological Survey, National Wildlife Health Center, 6006 Schroeder Road, Madison, 53711, WI, United States; Department of Biology, University of Maryland, College Park, 20742, MD, United States";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Rani S.; Mehrotra M.";Determining network communities based on modular density optimization;2020;Recent Advances in Computer Science and Communications;13;2;3;10.2174/2213275912666181205153024;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086119775&doi=10.2174%2f2213275912666181205153024&partnerID=40&md5=80179807872abd5e81e3a3f30dca5fd6;Department of Computer Science, Jamia Millia Islamia, New Delhi, India;English;Article;Final;;Scopus
"De Oliveira H.F.M.; Camargo N.F.; Hemprich-Bennett D.R.; Rodríguez-Herrera B.; Rossiter S.J.; Clare E.L.";Wing morphology predicts individual niche specialization in Pteronotus mesoamericanus (Mammalia: Chiroptera);2020;PLoS ONE;15;5;17;10.1371/journal.pone.0232601;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084480219&doi=10.1371%2fjournal.pone.0232601&partnerID=40&md5=a868577c0c0f8ad87ac1bd43b0c0f980;"Department of Ecology, Evolution, and Organismal Biology, Iowa State University, Ames, IA, United States; School of Biological and Chemical Sciences, Queen Mary University of London, London, United Kingdom; Laboratório de Ecologia de Vertebrados, Universidade de Brasília, Brasília, Brazil; Department of Zoology, University of Oxford, Oxford, United Kingdom; Escuela de Biología, Universidad de Costa Rica, San José, Costa Rica";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Hallerman E.M.; Hyde M.O.; Silvis A.; Ford W.M.; Britzke E.R.";Relatedness within and among northern long-eared bat (Myotis septentrionalis) colonies at a local scale;2019;Canadian Journal of Zoology;97;8;3;10.1139/cjz-2018-0229;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070522382&doi=10.1139%2fcjz-2018-0229&partnerID=40&md5=186248d55ce9f5b117a99c4ab7a6287e;"Department of Fish and Wildlife Conservation, Virginia Tech, Blacksburg, 24061, VA, United States; U.S. Geological Survey Virginia Cooperative Fish and Wildlife Research Unit and Department of Fish and Wildlife Conservation, Virginia Tech, Blacksburg, 24061, VA, United States; U.S. Army Corps of Engineers Engineer Research and Development Center, Environmental Laboratory, Vicksburg, 39180, MS, United States";English;Article;Final;"All Open Access; Green Open Access";Scopus
"McKee C.D.; Krawczyk A.I.; Sándor A.D.; Görföl T.; Földvári M.; Földvári G.; Dekeukeleire D.; Haarsma A.-J.; Kosoy M.Y.; Webb C.T.; Sprong H.";Host phylogeny, geographic overlap, and roost sharing shape parasite communities in European bats;2019;Frontiers in Ecology and Evolution;7;MAR;33;10.3389/fevo.2019.00069;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065424406&doi=10.3389%2ffevo.2019.00069&partnerID=40&md5=0e4635054ef959ceabc90bd67b257055;"Graduate Degree Program in Ecology, Colorado State University, Fort Collins, CO, United States; Department of Biology, Colorado State University, Fort Collins, CO, United States; Division of Vector-Borne Diseases, Centers for Disease Control and Prevention, Fort Collins, CO, United States; Centre for Zoonoses and Environmental Microbiology, Centre for Infectious Disease Control, National Institute for Public Health and the Environment, Bilthoven, Netherlands; Department of Parasitology and Parasitic Diseases, University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca, Cluj-Napoca, Romania; Department of Zoology, Hungarian Natural History Museum, Budapest, Hungary; Department of Evolutionary Zoology and Human Biology, University of Debrecen, Debrecen, Hungary; Department of Research and Collections, Natural History Museum, University of Oslo, Oslo, Norway; Department of Parasitology and Zoology, University of Veterinary Medicine, Budapest, Hungary; Evolutionary Systems Research Group, Centre for Ecological Research, Hungarian Academy of Sciences, Tihany, Hungary; Terrestrial Ecology Unit, Department of Biology, Ghent University, Ghent, Belgium; Department of Animal Ecology and Physiology, Radboud University, Nijmegen, Netherlands; Endless Forms Group, Naturalis Biodiversity Center, Leiden, Netherlands";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Pinaud D.; Claireau F.; Leuchtmann M.; Kerbiriou C.";Modelling landscape connectivity for greater horseshoe bat using an empirical quantification of resistance;2018;Journal of Applied Ecology;55;6;33;10.1111/1365-2664.13228;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050484780&doi=10.1111%2f1365-2664.13228&partnerID=40&md5=d3953e1db1683a1d729665f393e031f4;"Centre d'Etudes Biologiques de Chizé, UM7372 CNRS, Université La Rochelle, Villiers-en-Bois, France; Center for Ecology and Conservation Sciences, UMR7204 MNHN-CNRS-UPMC-Sorbonne Université, National Museum of Natural History, Paris, France; Zoology Institute and Museum, University of Greifswald, Greifswald, Germany; Naturalia Environnement, Avignon, France; Nature Environnement 17, Surgères, France; Biological Marine Station, National Museum of Natural History, Concarneau, France";English;Article;Final;"All Open Access; Bronze Open Access";Scopus
"Clare E.L.; Fazekas A.J.; Ivanova N.V.; Floyd R.M.; Hebert P.D.N.; Adams A.M.; Nagel J.; Girton R.; Newmaster S.G.; Fenton M.B.";Approaches to integrating genetic data into ecological networks;2019;Molecular Ecology;28;2;30;10.1111/mec.14941;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058315350&doi=10.1111%2fmec.14941&partnerID=40&md5=beadda9b7adb650309d872d1b56647e1;"School of Biological and Chemical Sciences, Queen Mary University of London, London, United Kingdom; Centre for Biodiversity Genomics, University of Guelph, Guelph, ON, Canada; The Arboretum, University of Guelph, Guelph, ON, Canada; Wellcome-MRC Cambridge Stem Cell Institute, University of Cambridge, Cambridge, United Kingdom; Department of Biology, Texas A&M University, College Station, TX, United States; Center for Environmental Science, University of Maryland, Frostburg, MD, United States; Department of Integrative Biology, University of Guelph, Guelph, ON, Canada; Department of Biology, University of Western Ontario, London, ON, Canada";English;Article;Final;"All Open Access; Green Open Access";Scopus
"von Hirschheydt G.; Kindvall O.; de Jong J.";Testing bat abundance and diversity predictions by PREBAT, a connectivity-based habitat suitability model for insectivorous bats;2020;European Journal of Wildlife Research;66;2;4;10.1007/s10344-020-1368-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081150105&doi=10.1007%2fs10344-020-1368-1&partnerID=40&md5=c839a3602a753c5d148c2f81954b7ffe;"Swiss Federal Institute for Forest, Snow and Landscape Research WSL, Zürcherstrasse 111, Birmensdorf, 8903, Switzerland; Calluna AB, Stora Nygatan 17, Göteborg, 41108, Sweden; Swedish Biodiversity Centre, Swedish University of Agricultural Sciences, Box 7016, Uppsala, 75007, Sweden";English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Zeppelini C.G.; Rego K.M.C.; Lopez L.C.S.";Bats in settlements from an Atlantic forest area in Northeastern Brazil;2017;Papeis Avulsos de Zoologia;57;31;3;10.11606/0031-1049.2017.57.31;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032694807&doi=10.11606%2f0031-1049.2017.57.31&partnerID=40&md5=bcd9f478d75f42f92db07a7365ebfa74;"Universidade Federal da Paraíba (UFPb), Centro de Ciências Exatas e da Natureza (CCEN), Campus I. Jardim Universitário, s/n, Castelo Branco, João Pessoa, CEP 58051, PB, Brazil; Departamento de Sistemática e Ecologia (DSE), Brazil";English;Article;Final;"All Open Access; Gold Open Access";Scopus
"Harten L.; Prat Y.; Ben Cohen S.; Dor R.; Yovel Y.";Food for Sex in Bats Revealed as Producer Males Reproduce with Scrounging Females;2019;Current Biology;29;11;13;10.1016/j.cub.2019.04.066;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066244543&doi=10.1016%2fj.cub.2019.04.066&partnerID=40&md5=c68668fc0c50aaa74ef87aa70165a734;"School of Zoology, Faculty of Life Sciences, Tel Aviv University, Tel Aviv, 6997801, Israel; Sagol School of Neuroscience, Tel Aviv University, Tel Aviv, 6997801, Israel";English;Article;Final;"All Open Access; Bronze Open Access";Scopus
"Stockmaier S.; Bolnick D.I.; Page R.A.; Carter G.G.";An immune challenge reduces social grooming in vampire bats;2018;Animal Behaviour;140;;39;10.1016/j.anbehav.2018.04.021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047412952&doi=10.1016%2fj.anbehav.2018.04.021&partnerID=40&md5=aba08afbc35b5fff308b584598b59112;"Department of Integrative Biology, University of Texas at Austin, Austin, TX, United States; Smithsonian Tropical Research Institute, Balboa, Ancón, Panama; Department of Collective Behaviour, Max Planck Institute for Ornithology, Konstanz, Germany; Department of Biology, University of Konstanz, Konstanz, Germany";English;Article;Final;"All Open Access; Bronze Open Access";Scopus
"Babers R.; Hassanien A.E.";A nature-inspired metaheuristic cuckoo search algorithm for community detection in social networks;2017;International Journal of Service Science, Management, Engineering, and Technology;8;1;19;10.4018/IJSSMET.2017010104;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042187398&doi=10.4018%2fIJSSMET.2017010104&partnerID=40&md5=f078f6bf663167fab10de88aa2df0692;"Helwan University,, Helwan, Egypt; Scientific Research Group in Egypt (SRGE), Egypt; Cairo University, Giza, Egypt; Faculty of Science, Helwan University, Egypt";English;Article;Final;;Scopus
