Authors;Title;Year;Journal;Volume;Issue;Cited by;DOI;Link;Affiliations;Language of Original Document;Document Type;Publication Stage;Open Access;Source
"Shoukat R.; Xiaoqiang Z.";The green and economical supply of coated board with intermodal distribution: an implementation of novel evolutionary algorithm;2024;Operational Research;24;2;0;10.1007/s12351-024-00825-w;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189829103&doi=10.1007%2fs12351-024-00825-w&partnerID=40&md5=2d49276c94706e5bb5f7695930502e2a;"School of Transportation and Logistics, Southwest Jiaotong University, Chengdu, China; National Engineering Laboratory of Integrated Transportation Big Data Application Technology, Chengdu, China; Lab of National United Engineering Laboratory of Integrated and Intelligent Transportation, No. 111, North Second Ring Road, Chengdu, China";English;Article;Final;;Scopus
"Pramanick N.; Srivastava S.; Mathew J.; Agarwal M.";Enhanced IDS Using BBA and SMOTE-ENN for Imbalanced Data for Cybersecurity;2024;SN Computer Science;5;7;0;10.1007/s42979-024-03229-x;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203505761&doi=10.1007%2fs42979-024-03229-x&partnerID=40&md5=93fa9f7b135762a6f4b5b27660b660a9;"Department of CSE, IIT Patna, Bihta, Bihar, Patna, 801103, India; Department of Mathematics, IIT Patna, Bihta, Bihar, Patna, 801103, India";English;Article;Final;;Scopus
"Saini S.; Singh M.";Energy efficient scheme for improving network lifetime using BAT algorithm in wireless sensor network;2024;International Journal of Communication Systems;37;15;1;10.1002/dac.5889;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197371729&doi=10.1002%2fdac.5889&partnerID=40&md5=1ccec8ff134ea76093cbd0c8b8067fe8;Dr. B. R. Ambedkar National Institute of Technology, Punjab, Jalandhar, India;English;Article;Final;;Scopus
"Kim S.; Lautenschlager L.; Tarazona-Tubens F.L.; Abels J.; Lloret M.; Park T.; Malcolm-Parker A.; Galetti M.; Searcy C.";Resurrecting plant–animal interactions in the Caribbean can benefit large-fruited plants;2024;Restoration Ecology;32;7;0;10.1111/rec.14233;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198504716&doi=10.1111%2frec.14233&partnerID=40&md5=61d1e79301f3c7be20915642d1eb0859;"Department of Biology, University of Miami, Coral Gables, FL, United States; Three Jay's Tortoise Sanctuary, Miami, FL, United States; Mike Lloret's Breeding Facility, Miami, FL, United States; Iguanaland, Punta Gorda, FL, United States; Conservation Biology Laboratory, Department of Biodiversity, São Paulo State University (UNESP), São Paulo, Rio Claro, Brazil";English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Hale K.R.S.; Curlis J.D.; Auteri G.G.; Bishop S.; French R.L.K.; Jones L.E.; Mills K.L.; Scholtens B.G.; Simons M.; Thompson C.; Tourville J.; Valdovinos F.S.";A highly resolved network reveals the role of terrestrial herbivory in structuring aboveground food webs;2024;Philosophical Transactions of the Royal Society B: Biological Sciences;379;1909;1;10.1098/rstb.2023.0180;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199370167&doi=10.1098%2frstb.2023.0180&partnerID=40&md5=cd8af2e64d1cd9947e6734d702ecc2ac;"Department of Ecology and Evolutionary Biology, University of Michigan, Ann Arbor, MI, United States; Department of Integrative Biology, University of Guelph, Guelph, ON, Canada; Department of Biology, Missouri State University, Springfield, MO, United States; Department of Ecology and Evolutionary Biology, University of Toronto, Toronto, ON, Canada; Department of Plant Biology, University of Illinois at Urbana-Champaign, Urbana, IL, United States; School for Environment and Sustainability, University of Michigan, Ann Arbor, MI, United States; Department of Biology, College of Charleston, Charleston, SC, United States; Museum of Zoology, University of Michigan, Ann Arbor, MI, United States; Department of Environmental Biology, SUNY College of Environmental Science and Forestry, Syracuse, NY, United States; Research Department, Appalachian Mountain Club, Boston, MA, United States; Department of Environmental Science and Policy, University of California, Davis, CA, United States";English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Zhou Y.; Pang N.; Li W.; Li Q.; Luo J.; Gu Y.; Hu Q.; Ding Y.J.; Sun Y.; Pan J.; Gao M.; Xiao Y.; Ma S.; Hao Y.; Xing H.; Fang E.F.; Ling W.; Zhang Z.; Yang L.";Inhibition of ethanol-induced eNAMPT secretion attenuates liver ferroptosis through BAT-Liver communication;2024;Redox Biology;75;;0;10.1016/j.redox.2024.103274;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199311167&doi=10.1016%2fj.redox.2024.103274&partnerID=40&md5=76f6e6fbf924b9c6edd3cc4e0ee75dbb;"Department of Nutrition, Guangdong Provincial Key Laboratory of Food, Nutrition and Health, School of Public Health, Sun Yat-sen University, Guangdong, Guangzhou, China; Department of Radiology, Translational Medicine Center and Guangdong Provincial Education Department, Key Laboratory of Nano-Immunoregulation Tumor Microenvironment, The Second Affiliated Hospital of Guangzhou Medical University, Guangdong, Guangzhou, China; State Key Laboratory of Oncology in South China, Guangdong Provincial Clinical Research Center for Cancer, Sun Yat-sen University Cancer Center, Guangzhou, 510060, China; Department of Immunization Programs, Guangzhou Huadu District Center for Disease Control and Prevention, Guangdong, Guangzhou, China; Department of Women Health Care, Guangzhou Baiyun District Maternal and Child Health Hospital, Guangdong, Guangzhou, China; Center of Liver Diseases Division 3, Beijing Ditan Hospital, Capital Medical University, Beijing, China; Peking University Ditan Teaching Hospital, Beijing, China; Department of Clinical Molecular Biology, University of Oslo and Akershus University Hospital, Lørenskog, 1478, Norway";English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus
"Ma J.; Shang B.; Khan Z.; Yu Y.; Fan P.";Redesign of BATS Code with Improved Decoding Rate Based on Coupled Batch Size and Degree Distribution;2024;IEEE Communications Letters;28;5;0;10.1109/LCOMM.2024.3380071;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188922610&doi=10.1109%2fLCOMM.2024.3380071&partnerID=40&md5=eca433b9d10d5f1decbfc2c612d64bad;"Jiangsu University of Technology, School of Electrical and Information Engineering, Changzhou, 213001, China; Eastern Institute of Technology, Eastern Institute for Advanced Study, Zhejiang, Ningbo, 315200, China; Prince Sultan University, College of Computer and Information Sciences, Riyadh, 12435, Saudi Arabia; Southwest Jiaotong University, Key Laboratory of Information Coding and Transmission, Chengdu, 611756, China";English;Article;Final;;Scopus
"Brenner E.E.; Alexander A.B.; Londoño L.A.; Stacy N.I.; Crevasse S.E.; Hernandez J.A.; Wellehan J.F.X., Jr";USE OF VISCOELASTIC COAGULATION TESTING IN MEGACHIROPTERA (PTEROPUS HYPOMELANUS AND PTEROPUS VAMPYRUS) REVEALS HIGH VARIABILITY IN CLOT KINETICS;2024;Journal of Zoo and Wildlife Medicine;55;2;0;10.1638/2023-0037;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196251858&doi=10.1638%2f2023-0037&partnerID=40&md5=c73ab7b286969c5d19c5f154645e2343;"the Department of Comparative, Diagnostic, and Population Medicine, University of Florida, College of Veterinary Medicine, 2015 SW 16th Ave, Gainesville, 32610-0126, FL, United States; Department of Small Animal Clinical Sciences, University of Florida, College of Veterinary Medicine, 2015 SW 16th Ave, Gainesville, 32610-0126, FL, United States; Department of Large Animal Clinical Sciences, University of Florida, College of Veterinary Medicine, 2015 SW 16th Ave, Gainesville, 32610-0126, FL, United States; White Oak, 581705 White Oak Road, Yulee, 32097, FL, United States; Capital Veterinary Specialists, 3001 Hartley Road, Jacksonville, 32257, FL, United States";English;Article;Final;;Scopus
"Yeh W.-C.; Zhu W.";Optimal allocation of financial resources for ensuring reliable resilience in binary-state network infrastructure;2024;Reliability Engineering and System Safety;250;;0;10.1016/j.ress.2024.110265;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196161790&doi=10.1016%2fj.ress.2024.110265&partnerID=40&md5=031f5bdb26c14adc9c2fca3d44f3de8a;"Integration and Collaboration Laboratory, Department of Industrial Engineering and Engineering Management, National Tsing Hua University, China; Guangdong Provincial Key Laboratory of Industrial Intelligent Inspection Technology, Foshan University, Guangdong, China";English;Article;Final;;Scopus
"Goldsworthy M.; Müller R.";Generating Ultrasonic Foliage Echoes with Variational Autoencoders;2024;Advanced Intelligent Systems;6;5;0;10.1002/aisy.202300697;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183662212&doi=10.1002%2faisy.202300697&partnerID=40&md5=df78ae65671fcb923cae8fbaa8178e1d;"Department of Computer Science, Virginia Tech, Blacksburg, 24060, VA, United States; Department of Mechanical Engineering, Virginia Tech, Blacksburg, 24060, VA, United States";English;Article;Final;"All Open Access; Gold Open Access";Scopus
