Number,Reference,DOI,Year,Country_or_Region,Global South,Family,Networks,Links_EE,Links_SS,Links_SE,Links_detail,Nodes_EE,Nodes_SS,Mode,Weight
29,Zarazua-Carbajal et al 2016,10.1007/s00436-016-5176-1,2016,Mexico,Yes,Phyllostomidae and Mormoopidae and Noctilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bat species and bat flies,NA,Two-mode,Weighted
30,Dzeverin and Vertsimakha 2024,10.1007/s11692-024-09638-3,2024,Ucrane and Russia and Azerbaijan,No,Vespertilionidae,Not SEN,Phenotypic evolution,NA,NA,Evolutionary relationship,Traits of Myotis specimens,NA,One-mode,Weighted
31,Corduneanu et al 2023,10.1186/s12866-023-02836-7,2023,Europe and China and Israel and Mexico and Costa Rica,Yes,Vespertilionidae and Miniopteridae,Not SEN,Host-microbiota interactions,NA,NA,Shared microbiomes,Bat gut microbiome,NA,One-mode,Binary
32,Hale et al 2024,10.1098/rstb.2023.0180,2024,USA,No,NA,Not SEN,Trophic interactions ,NA,NA,Feeding interactions ,Taxonomic species,NA,Two-mode,Binary
33,Sunga et al 2024,10.1038/s41598-023-50191-4,2024,Canada,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Female individuals of Myotis lucifugus,NA,One-mode,Binary
34,Corro et al 2022,10.1080/11956860.2021.2007644,2022,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Binary
35,Gorman et al 2023,10.1093/jue/juad005,2023,USA,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Bats and roost,NA,Both,Weighted
36,Bezerra and Bocchiglieri 2024,10.31687/saremMN.24.31.01.14.e0961,2024,Brazil,Yes,Phyllostomidae and Vespertilionidae and Emballonuridae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bat species and bat flies,NA,Two-mode,Weighted
37,Lotfi et al 2023,10.1111/2041-210X.14257,2023,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory and Nectarivory,Bats and plants,NA,Two-mode,Binary
38,Biz et al 2023,10.1002/ece3.10527,2023,Neotropical,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bat species and bat flies,NA,Two-mode,Weighted
39,Janouskova et al 2023,10.1155/2023/2611577,2023,Brazil,Yes,Phyllostomidae,Not SEN,Spillover infection,NA,NA,Transmission of bat rabies virus between bat roosts and cattle farms,Bat roosts and farms,NA,Both,Weighted
40,Hartman et al 2024,10.1098/rspb.2023.2880,2024,Costa Rica and Panama,Yes,Phyllostomidae,Not SEN,Use of space and social interaction,NA,NA,"Social, behavior ","Individual Desmodus rotundus bats and their switches among roosts, clusters, and partners",NA,One-mode,Weighted
41,Carvajal-Nieto et al 2023,10.21068/2539200X.1079,2023,Colombia,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Nectarivory and pollinivory,Bats and plants,NA,Two-mode,Weighted
42,Rivera et al 2022,10.3161/15081109ACC2022.24.2.008,2022,Colombia,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bat species and bat flies,NA,Two-mode,Weighted
43,Roeleke et al 2022,10.1073/pnas.2203663119,2022,Germany,No,Vespertilionidae,Not SEN,Hunting behavior,NA,NA,"Social, foraging strategy",Individuals of N. noctula,NA,One-mode,Binary
44,Eby et al 2022,10.1038/s41586-022-05506-2,2022,Australia,No,Pteropodidae,Not SEN,Spillover infection,NA,NA,Transmission of Hendra virus between bats and horses,Bats and horses,NA,One-mode,Binary
45,López‑Rivera et al 2024,10.1007/s00436-024-08221-1,2024,Colombia,Yes,Phyllostomidae and Vespertilionidae and Molossidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,"Bats, bat flies, and hyperparasites",NA,Tripartite,Weighted
